6164 C	[0.602396,-0.155532,0.045201]
6165 C	[0.560522,-0.165648,0.051226]
6166 C	[0.534198,-0.171655,0.057089]
6167 C	[0.465625,-0.155712,0.049962]
6168 C	[0.481227,-0.140436,0.04462]
6169 C	[0.725638,-0.097387,0.05957]
6170 C	[0.692048,-0.101907,0.061054]
6171 C	[0.658814,-0.105571,0.067215]
6172 C	[0.608955,-0.098039,0.060466]
6173 C	[0.552724,-0.117591,0.071618]
6174 C	[0.522736,-0.109237,0.064674]
6175 C	[0.491819,-0.091921,0.052503]
6176 C	[0.770321,-0.049557,0.023107]
6177 C	[0.718107,-0.057271,0.030805]
6178 C	[0.667028,-0.069203,0.038497]
6179 C	[0.61928,-0.081293,0.045003]
6180 C	[0.564775,-0.082817,0.044493]
6181 C	[0.542702,-0.088279,0.05029]
6182 C	[0.503213,-0.086959,0.05169]
6183 C	[0.605989,-0.02492,0.024358]
6184 C	[0.578469,-0.02949,0.028544]
6185 C	[0.529926,-0.027421,0.031193]
6186 C	[0.488337,-0.028119,0.030603]
6187 C	[0.456649,-0.027584,0.032119]
6188 C	[0.418499,-0.028921,0.029369]
6189 C	[0.340437,-0.024409,0.011178]
6190 C	[0.919821,-0.024522,0.056985]
6191 C	[0.912399,-0.03302,0.079557]
6192 C	[0.874523,-0.055414,0.118031]
6193 C	[0.841435,-0.073087,0.150213]
6194 C	[0.792031,-0.081846,0.162261]
6195 C	[0.71801,-0.088443,0.152305]
6196 C	[0.70782,-0.085495,0.145552]
6197 C	[0.880707,-0.004395,0.008283]
6198 C	[0.839596,-0.007309,0.015001]
6199 C	[0.796974,-0.007869,0.021065]
6200 C	[0.767892,-0.007757,0.027028]
6201 C	[0.704367,-0.011792,0.034788]
6202 C	[0.6648,-0.014531,0.039733]
6203 C	[0.643194,-0.013215,0.044175]
6204 C	[0.713857,-0.001364,0.024471]
6205 C	[0.657304,0.000899,0.034951]
6206 C	[0.622439,0.00068,0.035919]
6207 C	[0.601551,-1.2e-05,0.037562]
6208 C	[0.543837,0.000709,0.04023]
6209 C	[0.504141,-0.001032,0.042691]
6210 C	[0.461496,-0.00282,0.042558]
6211 C	[0.66342,-0.004308,-0.012669]
6212 C	[0.607836,-0.003898,-0.010432]
6213 C	[0.569361,-0.005126,-0.00909]
6214 C	[0.542183,-0.005134,-0.006907]
6215 C	[0.503992,-0.00568,-0.004538]
6216 C	[0.436923,-0.002291,0.00153]
6217 C	[0.401384,-0.005456,0.004068]
6218 C	[0.696319,-0.006904,-0.022265]
6219 C	[0.645718,-0.008887,-0.021379]
